epoca,loss,val_loss
1,0.10253435373306274,0.08127971738576889
2,0.07744929194450378,0.07201354205608368
3,0.06876101344823837,0.0690564438700676
4,0.0626792311668396,0.0664440169930458
5,0.05791071802377701,0.06360337138175964
6,0.053891319781541824,0.06201540678739548
7,0.050863128155469894,0.06216605007648468
8,0.047278884798288345,0.061773184686899185
9,0.044655635952949524,0.0626872107386589
10,0.042176224291324615,0.062270648777484894
11,0.04040566831827164,0.0615827701985836
12,0.03824474290013313,0.06078525632619858
13,0.036075055599212646,0.06252295523881912
14,0.03441352769732475,0.06357625126838684
15,0.03267662599682808,0.06280823796987534
16,0.03087591752409935,0.0628787949681282
17,0.029418932273983955,0.06300460547208786
